的	的 的话 的确
血	血 血液 血管 血缘 血压 血汗
受	受 受到 受伤 受过 受精 受热
离	离 离开 离子 离不开 离婚 离去
该	该 该书 该死 该项
界	界 界限 界线 界面
远	远 远远 远处 远方 远离 远大
平	平 平均 平衡 平等 平时 平原
阵	阵 阵地
物	物 物质 物体 物理 物资 物价
冷	冷 冷却 冷静 冷冷 冷笑 冷水
数	数 数量 数学 数字 数目 数据
信	信 信息 信仰 信号 信心 信任
刻	刻 刻苦 刻划 刻度 刻画
至	至 至于 至今 至少 至此 至多
突	突 突然 突出 突破 突变 突击
失	失 失去 失败 失望 失业 失调
怪	怪 怪物 怪不得 怪事
随	随 随着 随时 随便 随后 随意
五	五 五十 五月 五百 五千 五四
反	反 反映 反应 反对 反动 反复
找	找 找到 找出 找来 找着 找寻
似	似 似的 似乎 似地
许	许 许多 许可 许许多多 许久 许可证
般	般 般的
武	武 武器 武装 武汉 武力 武装力量
雷	雷 雷锋 雷达 雷雨 雷鸣 雷暴
非	非 非常 非洲 非法 非金属 非要
奇	奇 奇怪 奇迹 奇特 奇异 奇妙
通	通 通过 通常 通知 通讯 通电
解	解 解决 解释 解放 解放军 解除
绝	绝 绝对 绝不 绝大多数 绝大部分 绝望
怕	怕 怕是
精	精 精神 精神文明 精力 精确 精心
修	修 修改 修养 修理 修建 修正主义
暗	暗 暗暗 暗示 暗中 暗自 暗淡
满	满 满足 满意 满脸 满族 满怀
双	双 双方 双手 双眼 双重 双脚
度	度 度过 度数 度量
红	红 红军 红色 红旗 红楼梦 红光
半	半 半天 半年 半径 半岛 半殖民地
世	世 世界 世纪 世界观 世纪末 世代
始	始 始终 始于
倒	倒 倒是 倒霉 倒退 倒下 倒入
拉	拉 拉开 拉住 拉到 拉力 拉长
今	今 今天 今年 今后 今日 今晚
它	它 它们
落	落 落后 落实 落下 落到 落叶
攻	攻 攻击 攻克 攻势 攻占 攻打
学	学 学生 学习 学校 学者 学科
尔	尔 尔后
传	传 传统 传播 传来 传说 传递
音	音 音乐 音响 音节 音乐家 音调
指	指 指出 指导 指挥 指示 指标
路	路 路线 路上 路程 路子 路过
越	越 越来越 越南 越过 越是 越冬
表	表 表现 表示 表明 表面 表演
石	石 石油 石头 石块 石灰 石子
容	容 容易 容量 容器 容纳 容许
紧	紧 紧张 紧紧 紧密 紧急 紧接着
哥	哥 哥哥 哥白尼
合	合 合理 合作 合同 合成 合适
罗	罗 罗马 罗马尼亚 罗马帝国 罗盘
利	利 利用 利益 利润 利于 利息
冲	冲 冲突 冲击 冲动 冲破 冲出
步	步 步骤 步伐 步子 步兵 步枪
影	影 影响 影子 影片
姐	姐 姐姐 姐妹
伤	伤 伤心 伤害 伤员 伤口 伤亡
若	若 若干 若是
亲	亲 亲自 亲切 亲人 亲属 亲戚
功	功 功能 功夫 功率 功课 功绩
整	整 整个 整体 整理 整顿 整齐
弟	弟 弟弟 弟兄 弟子
丝	丝 丝毫 丝绸
吃	吃 吃饭 吃惊 吃完 吃力 吃饱
众	众 众多 众人 众所周知
花	花 花园 花朵 花色 花粉 花费
势	势 势力 势必 势能 势头 势力范围
早	早 早已 早就 早期 早晨 早在
哈	哈 哈哈 哈哈大笑 哈尔滨
帝	帝 帝国主义 帝国 帝王
流	流 流通 流动 流行 流传 流域
团	团 团结 团体 团长 团员 团委
青	青 青年 青少年 青春 青蛙 青年人
根	根 根据 根本 根据地 根本上 根源
极	极 极其 极为 极端 极力 极少数
静	静 静止 静脉 静悄悄 静态 静电
形	形 形成 形式 形象 形态 形势
即	即 即使 即可 即将 即是 即使是
深	深 深入 深刻 深深 深处 深度
周	周 周围 周期 周恩来 周年 周转
近	近 近代 近年来 近似 近来 近年
千	千 千万 千米 千方百计 千克 千百万
消	消 消灭 消费 消息 消耗 消失
结	结 结构 结果 结合 结束 结论
制	制 制度 制造 制定 制约 制成
干	干 干部 干什么 干涉 干扰 干燥
帮	帮 帮助 帮忙
速	速 速度 速率
性	性 性质 性格 性能 性状 性别
系	系 系统 系数 系列 系统性 系统论
言	言 言语 言论 言行
提	提 提高 提出 提供 提到 提倡
教	教 教育 教师 教学 教授 教会
皇	皇 皇帝 皇后 皇上 皇家
令	令 令人
文	文 文化 文学 文艺 文章 文字
雪	雪 雪白 雪花 雪山
谁	谁 谁知 谁知道 谁家
终	终 终于 终身 终年 终究 终生
必	必 必须 必然 必要 必需 必定
站	站 站起来 站在 站长 站住 站起身
化	化 化学 化合物 化合 化学反应 化石
哪	哪 哪里 哪儿 哪些 哪个 哪怕
破	破 破坏 破产 破裂 破旧 破烂
认	认 认为 认识 认真 认定 认识论
忙	忙 忙碌 忙于
往	往 往往 往来 往下 往前 往后
玉	玉 玉米 玉华
级	级 级差 级别
车	车 车间 车子 车站 车上 车辆
底	底 底下 底层 底部 底子 底片
总	总 总是 总结 总之 总理 总统
坐	坐 坐下 坐标 坐到 坐上 坐标系
巨	巨 巨大 巨额 巨型 巨人 巨浪
男	男 男女 男子 男人 男性 男孩
显	显 显然 显得 显著 显示 显微镜
克	克 克服 克制 克西
各	各 各种 各个 各地 各国 各级
新	新 新闻 新鲜 新兴 新疆 新型
斗	斗 斗争 斗志
急	急 急忙 急剧 急需 急性 急于
切	切 切实 切断 切线 切割 切身
阳	阳 阳光 阳台 阳性
叶	叶 叶子 叶片 叶绿素 叶倩倩 叶绿体
领	领 领导 领域 领导者 领袖 领土
收	收 收入 收到 收购 收集 收缩
衣	衣 衣服 衣裳 衣着 衣襟 衣袋
敢	敢 敢于
异	异 异常 异性 异样 异化 异物
围	围 围绕 围剿 围攻 围墙 围住
达	达 达到 达成 达尔文 达斡尔
象	象 象是 象征 象征性
错	错 错误 错综复杂 错觉 错过
服	服 服务 服从 服装 服务员 服饰
慢	慢 慢慢 慢性 慢吞吞
保	保 保证 保持 保护 保存 保障
办	办 办法 办公室 办事 办理 办公
活	活 活动 活跃 活泼 活力 活性
喜	喜 喜欢 喜爱 喜悦 喜剧 喜鹊
片	片 片面 片刻 片面性 片断 片子
杨	杨 杨勇 杨柳 杨虎城
兴	兴 兴趣 兴奋 兴起 兴建 兴办
刀	刀 刀子
摇	摇 摇头 摇摇头 摇晃 摇动 摇摆
准	准 准备 准确 准则 准是 准确性
夜	夜 夜里 夜晚 夜间 夜色 夜空
拿	拿 拿出 拿起 拿来 拿到 拿去
电	电 电子 电流 电视 电话 电影
交	交 交换 交通 交流 交给 交际
条	条 条件 条例 条约 条款 条件反射
朝	朝 朝鲜 朝着 朝廷 朝代
华	华 华北 华侨 华盛顿 华丽 华南
管	管 管理 管辖 管道 管子 管理者
断	断 断定 断言 断绝 断裂 断开
决	决 决定 决不 决心 决策 决议
尽	尽 尽管 尽量 尽可能 尽快 尽力
苦	苦 苦难 苦恼 苦笑 苦闷 苦痛
依	依 依靠 依据 依然 依赖 依照
易	易 易于
八	八 八十 八路军 八月 八百 八旗
露	露 露出 露天
语	语 语言 语音 语法 语义 语言学
闪	闪 闪烁 闪电 闪光 闪闪 闪亮
冰	冰 冰川 冰雪 冰晶 冰山 冰块
足	足 足以 足够 足球 足足 足迹
记	记 记者 记忆 记载 记得 记录
德	德 德国 德育 德意志
响	响 响起 响应 响声 响亮
害	害 害怕 害虫
及	及 及其 及时 及早 及格
球	球 球形 球体
阿	阿 阿姨 阿拉伯 阿富汗 阿拉伯人 阿根廷
计	计 计划 计算 计算机 计划经济 计划生育
顿	顿 顿时
爱	爱 爱情 爱国 爱人 爱好 爱因斯坦
告	告 告诉 告别 告诫 告状 告辞
夫	夫 夫人 夫妻 夫妇
七	七 七十 七月 七五 七百
嘴	嘴 嘴里 嘴唇 嘴巴 嘴角 嘴上
器	器 器官 器材 器械 器乐 器具
圣	圣 圣经 圣人 圣地
南	南 南京 南方 南部 南北 南极
留	留 留下 留给 留学 留心 留学生
元	元 元素 元旦 元年 元代 元件
敌	敌 敌人 敌对 敌军 敌后 敌我
沉	沉 沉重 沉默 沉思 沉淀 沉积
请	请 请求 请示 请来 请教 请问
官	官 官员 官僚 官兵 官吏 官僚主义
威	威 威胁 威信 威力 威严 威风
每	每 每个 每天 每年 每次 每人
况	况 况且
确	确 确定 确实 确立 确切 确是
答	答 答应 答案 答道 答复
陈	陈 陈毅 陈旧 陈二虎 陈述 陈列
宝	宝 宝贵 宝贝 宝石 宝库 宝座
视	视 视为 视觉 视野 视线 视察
护	护 护士 护理
格	格 格外 格局 格式
脑	脑 脑袋 脑子 脑海 脑筋 脑力劳动
兄	兄 兄弟 兄妹
狂	狂 狂风 狂热
淡	淡 淡淡 淡水
识	识 识别 识字 识记
题	题 题材 题目 题为 题词
停	停 停止 停留 停顿 停住 停下来
司	司 司机 司令 司法 司令部 司令员
低	低 低于 低温 低声 低头 低级
雨	雨 雨水 雨点 雨季 雨量 雨后
呼	呼 呼吸 呼唤 呼吁 呼喊 呼啸
久	久 久久 久而久之
未	未 未来 未能 未必 未曾 未经
孩	孩 孩子 孩儿
卫	卫 卫生 卫星
脚	脚 脚步 脚下 脚步声 脚印 脚上
除	除 除了 除去 除非 除夕 除此之外
古	古 古代 古老 古典 古人 古希腊
亚	亚 亚洲 亚里士多德 亚热带 亚运会
字	字 字母 字形 字眼 字样
骑	骑 骑兵 骑马
房	房 房子 房间 房屋 房里 房门
代	代 代表 代替 代谢 代价 代表团
伙	伙 伙伴 伙计 伙食
鬼	鬼 鬼子 鬼神
缓	缓 缓慢 缓和 缓缓 缓解
复	复 复杂 复辟 复杂性 复制 复合
六	六 六十 六月 六百 六千
黄	黄 黄河 黄色 黄金 黄昏 黄土
装	装 装置 装饰 装备 装有 装上
居	居 居民 居住 居然 居于 居多
凌	凌 凌晨
米	米 米饭
恐	恐 恐怕 恐惧 恐怖 恐慌 恐龙
单	单 单位 单纯 单独 单一 单调
旁	旁 旁边 旁人 旁的
钱	钱 钱财
跑	跑 跑到 跑去 跑来 跑进 跑出
布	布 布置 布局 布满 布克 布景
或	或 或者 或是 或者说 或许 或者是
爷	爷 爷爷
玩	玩 玩具 玩笑 玩意 玩艺 玩弄
报	报 报告 报道 报纸 报刊 报酬
疑	疑 疑问 疑惑 疑心 疑虑
术	术 术语
隐	隐 隐藏 隐蔽 隐约 隐隐 隐瞒
欢	欢 欢迎 欢乐 欢喜 欢呼 欢快
章	章 章程 章太炎
差	差 差异 差别 差不多 差距 差点
挥	挥 挥手 挥发 挥动
父	父 父亲 父母 父子
句	句 句子 句法
待	待 待遇 待业
九	九 九月 九十 九点
派	派 派人 派出 派遣 派出所 派别
持	持 持续 持久 持有
类	类 类型 类似 类别 类比 类推
宇	宇 宇宙 宇航员 宇航 宇宙飞船
蓝	蓝 蓝色 蓝天
佛	佛 佛教 佛像 佛经
刘	刘 刘少奇 刘邦
忽	忽 忽然 忽视 忽略 忽听 忽地
怀	怀 怀疑 怀里 怀念 怀抱 怀孕
怒	怒 怒火 怒吼
掉	掉 掉下
招	招 招呼 招待 招生 招收 招手
希	希 希望 希腊 希特勒 希尔伯特
送	送 送到 送给 送来 送去 送进
背	背 背后 背景 背着 背上 背影
工	工 工作 工业 工人 工具 工厂
甚	甚 甚至 甚么 甚至于
烈	烈 烈士 烈火 烈日
卡	卡 卡车 卡片
细	细 细胞 细菌 细致 细节 细细
掌	掌 掌握 掌声 掌柜 掌柜的 掌管
论	论 论述 论文 论证 论点 论断
密	密 密切 密度 密集 密林 密封
运	运 运动 运用 运输 运动员 运行
退	退 退休 退出 退化 退回
酒	酒 酒精 酒杯 酒店
求	求 求证 求得 求出 求学
猛	猛 猛烈 猛地 猛然
另	另 另外 另一方面 另有
射	射 射线 射击 射出 射到 射电
集	集 集中 集体 集团 集合 集体所有制
首	首 首先 首都 首次 首长 首要
北	北 北京 北方 北部 北平 北京市
照	照 照片 照顾 照射 照着 照样
晚	晚 晚上 晚饭 晚期 晚年 晚会
赶	赶 赶紧 赶快 赶到 赶上 赶来
守	守 守恒 守卫 守法
木	木 木材 木板 木头 木质 木炭
散	散 散文 散步 散发 散射 散布
穿	穿 穿过 穿着 穿上 穿山甲 穿插
联	联 联系 联合 联想 联合国 联盟
铁	铁 铁路 铁匠 铁矿 铁器 铁丝
段	段 段祺瑞 段落
练	练 练习 练兵 练功
喝	喝 喝酒 喝水
需	需 需要 需求 需要量
支	支 支持 支配 支援 支出 支付
巴	巴 巴黎 巴西 巴掌 巴勒斯坦 巴基斯坦
左	左 左右 左手 左边 左脚 左侧
陆	陆 陆地 陆续 陆军 陆上
角	角 角度 角色 角落 角逐
书	书 书记 书籍 书面 书本 书写
防	防 防止 防治 防御 防守 防护
忍	忍 忍不住 忍受 忍耐 忍心 忍住
莫	莫 莫斯科 莫名其妙 莫非 莫大 莫不
群	群 群众 群体 群众性 群落 群众路线
民	民 民族 民主 民间 民兵 民众
客	客 客观 客人 客体 客观上 客厅
线	线 线段 线圈 线索 线条 线路
毫	毫 毫无 毫不 毫升 毫米 毫克
肯	肯 肯定
展	展 展开 展览 展现 展示 展出
谢	谢 谢谢 谢绝
亮	亮 亮子 亮光 亮相
痛	痛 痛苦 痛快 痛哭 痛心 痛恨
股	股 股票 股份 股长
造	造 造成 造型 造林 造就 造福
虎	虎 虎子
秦	秦 秦始皇 秦汉 秦国
紫	紫 紫色 紫外线 紫菜
宫	宫 宫廷 宫殿
激	激 激动 激烈 激发 激素 激起
赵	赵 赵紫阳 赵丹 赵强
渐	渐 渐渐
震	震 震动 震惊 震撼
注	注 注意 注视 注重 注意力 注入
禁	禁 禁止 禁不住 禁区 禁锢 禁忌
吸	吸 吸收 吸引 吸取 吸附 吸引力
取	取 取得 取消 取出 取决于 取代
梦	梦 梦中 梦想 梦境 梦幻 梦见
枪	枪 枪声 枪毙
程	程 程度 程序 程式
叹	叹 叹息 叹气
江	江 江南 江苏 江西 江青 江水
简	简 简单 简直 简称 简化 简便
羽	羽 羽毛
友	友 友谊 友好 友人 友爱
继	继 继续 继承 继而 继承人
念	念 念头 念书
右	右 右手 右边 右派 右脚 右派分子
热	热 热情 热烈 热量 热闹 热爱
份	份 份量
乐	乐 乐曲 乐器 乐队 乐观 乐意
压	压 压迫 压力 压强 压缩 压抑
既	既 既然 既是 既定
靠	靠 靠近 靠拢
香	香 香港 香烟 香味 香蕉 香气
恶	恶 恶劣 恶化 恶心 恶性 恶毒
引	引 引起 引导 引进 引力 引入
止	止 止住
包	包 包括 包含 包围 包装 包袱
追	追 追求 追逐 追究 追问 追赶
仅	仅 仅仅 仅仅是 仅有 仅次于
寒	寒 寒冷 寒风 寒潮
雅	雅 雅典
争	争 争取 争论 争夺 争吵 争议
愿	愿 愿意 愿望
超	超 超过 超越 超额 超出 超人
狠	狠 狠狠
厉	厉 厉害 厉声
式	式 式样
波	波 波动 波长 波兰 波斯 波浪
刺	刺 刺激 刺刀
号	号 号召 号称 号码
态	态 态度 态势
存	存 存在 存款 存放 存贮
游	游 游戏 游泳 游击队 游击 游行
台	台 台湾 台上 台风 台下 台阶
跳	跳 跳舞 跳跃 跳下 跳动 跳到
狼	狼 狼狈
属	属 属于 属性
妹	妹 妹妹 妹子
炼	炼 炼钢 炼丹
灭	灭 灭亡 灭绝
英	英 英国 英雄 英勇 英语 英文
醒	醒 醒来 醒目
举	举 举行 举办 举起 举动 举例
嘿	嘿 嘿嘿
境	境 境界 境内 境地 境遇
胜	胜 胜利 胜任 胜负 胜仗
诉	诉 诉讼 诉说
抱	抱 抱住 抱怨 抱歉 抱起
毕	毕 毕业 毕竟 毕业生 毕生
甲	甲 甲烷 甲板 甲状腺
齐	齐 齐全 齐声
拍	拍 拍摄 拍打
唐	唐 唐代 唐朝 唐太宗
君	君 君主 君子
楼	楼 楼上 楼房 楼梯 楼下
险	险 险恶
院	院 院子 院长 院里 院校
建	建 建立 建设 建筑 建议 建国
观	观 观察 观点 观念 观众 观测
柔	柔 柔软 柔和
逃	逃 逃避 逃走 逃跑 逃亡 逃出
置	置 置于 置身 置换
娘	娘 娘家
担	担 担任 担心 担负 担子 担保
阴	阴 阴谋 阴影 阴阳 阴沉 阴暗
呆	呆 呆呆 呆板
层	层 层次
试	试 试验 试管 试制 试图 试点
约	约 约束 约定
凡	凡 凡是
眉	眉 眉头 眉毛
弹	弹 弹性 弹簧 弹药 弹力
救	救 救国 救济 救命 救出 救灾
银	银 银行 银子 银幕 银河系
统	统 统一 统治 统计 统治阶级 统治者
否	否 否定 否则 否认
索	索 索性 索泓一 索马里 索取
抓	抓 抓住 抓紧 抓好 抓起 抓着
调	调 调节 调整 调查 调动 调查研究
曾	曾 曾经
基	基 基本 基础 基础上 基本上 基督教
顶	顶 顶点 顶端 顶上 顶着 顶部
苏	苏 苏联 苏维埃 苏州 苏军 苏区
图	图 图形 图画 图案 图象 图书馆
松	松 松树 松鼠 松弛 松软 松林
议	议 议论 议会 议员 议案
料	料 料到
顾	顾 顾客 顾问 顾虑 顾及 顾不上
严	严 严重 严格 严肃 严密 严厉
业	业 业务 业余 业绩 业已
恩	恩 恩格斯
礼	礼 礼貌 礼物 礼堂 礼仪 礼拜
耳	耳 耳朵 耳边 耳目 耳光
选	选 选择 选举 选手 选用 选出
余	余 余地 余立毅
败	败 败坏
区	区 区别 区域 区分 区长 区内
顺	顺 顺利 顺序 顺着 顺手 顺便
皮	皮 皮肤 皮鞋 皮质 皮下 皮带
沙	沙 沙漠 沙发 沙滩 沙俄 沙沙
瞬	瞬 瞬间
树	树 树立 树木 树上 树枝 树林
秘	秘 秘密 秘书 秘书长
商	商 商品 商业 商品经济 商店 商量
组	组 组织 组成 组合 组成部分 组长
汉	汉 汉语 汉族 汉字 汉子 汉奸
